iter	Passed	Remaining
407	5594	2550
408	5610	2537
409	5624	2524
410	5641	2512
411	5658	2499
412	5673	2486
413	5686	2472
414	5700	2458
415	5715	2445
416	5729	2431
417	5743	2418
418	5757	2404
419	5769	2390
420	5782	2376
421	5796	2362
422	5809	2348
423	5823	2335
424	5836	2320
425	5850	2307
426	5863	2293
427	5877	2279
428	5890	2265
429	5904	2251
430	5918	2238
431	5930	2223
432	5944	2210
433	5958	2196
434	5972	2182
435	5985	2168
436	5997	2154
437	6011	2141
438	6025	2127
439	6039	2113
440	6053	2100
441	6065	2085
442	6079	2072
443	6092	2058
444	6106	2044
445	6118	2030
446	6131	2016
447	6142	2001
448	6157	1988
449	6170	1974
450	6183	1960
451	6196	1946
452	6209	1932
453	6222	1918
454	6234	1904
455	6246	1890
456	6259	1876
457	6273	1862
458	6284	1848
459	6298	1834
460	6310	1820
461	6322	1806
462	6335	1792
463	6349	1778
464	6361	1764
465	6374	1751
466	6388	1737
467	6401	1723
468	6416	1710
469	6430	1696
470	6443	1682
471	6456	1668
472	6469	1654
473	6482	1641
474	6494	1627
475	6506	1613
476	6521	1599
477	6533	1585
478	6545	1571
479	6557	1557
480	6572	1544
481	6586	1530
482	6601	1517
483	6616	1503
484	6631	1490
485	6646	1476
486	6663	1464
487	6680	1451
488	6697	1438
489	6713	1424
490	6731	1412
491	6747	1398
492	6763	1385
493	6780	1372
494	6796	1359
495	6810	1345
496	6826	1332
497	6839	1318
498	6858	1305
499	6872	1292
500	6886	1278
501	6902	1264
502	6919	1251
503	6934	1238
504	6948	1224
505	6973	1212
506	6985	1198
507	6999	1185
508	7016	1171
509	7034	1158
510	7050	1145
511	7066	1131
512	7080	1117
513	7095	1104
514	7109	1090
515	7123	1076
516	7137	1063
517	7153	1049
518	7166	1035
519	7179	1021
520	7194	1008
521	7209	994
522	7225	980
523	7239	967
524	7256	953
525	7273	940
526	7286	926
527	7310	913
528	7324	900
529	7339	886
530	7355	872
531	7371	859
532	7387	845
533	7404	831
534	7420	818
535	7438	804
536	7454	791
537	7468	777
538	7483	763
539	7499	749
540	7514	736
541	7528	722
542	7542	708
543	7555	694
544	7570	680
545	7584	666
546	7599	652
547	7613	639
548	7626	625
549	7639	611
550	7653	597
551	7669	583
552	7685	569
553	7700	555
554	7714	542
555	7729	528
556	7743	514
557	7757	500
558	7771	486
559	7784	472
560	7798	458
561	7811	444
562	7824	430
563	7838	416
564	7852	403
565	7866	389
566	7880	375
567	7896	361
568	7913	347
569	7929	333
570	7943	319
571	7956	306
572	7972	292
573	7985	278
574	8001	264
575	8016	250
576	8029	236
577	8045	222
578	8060	208
579	8074	194
580	8089	181
581	8104	167
582	8117	153
583	8131	139
584	8144	125
585	8160	111
586	8174	97
587	8191	83
588	8204	69
589	8216	55
590	8232	41
591	8248	27
592	8261	13
593	8276	0
